Employee_Name,EmpID,MarriedID,MaritalStatusID,GenderID,EmpStatusID,DeptID,PerfScoreID,FromDiversityJobFairID,Salary,Termd,PositionID,Position,State,Zip,DOB,Sex,MaritalDesc,CitizenDesc,HispanicLatino,RaceDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
"Costello, Frank",127,1,1,1,4,5,2,1,62564,1,22,Production Technician I,MA,14563,04/10/87,M ,Married,US Citizen,No,White,1/5/2015,12/12/2015,N/A-StillEmployed,Active,Production       ,Brannon Miller,12,LinkedIn,Needs Improvement,3.85,2,2,2/4/2019,3,2
"Gaul, Barbara",33,1,2,1,4,6,2,0,85528,1,17,IT Support,MA,40829,05/31/88,M ,Divorced,US Citizen,No,White,4/2/2012,8/19/2013,N/A-StillEmployed,Active,Sales,Lynn Daneault,21,Google Search,Fully Meets,4.77,4,2,1/2/2019,1,7
"Purinton, Janine",37,1,1,1,2,6,2,0,95178,0,7,Administrative Assistant,MA,32601,11/06/86,M ,Married,US Citizen,No,White,4/30/2012,,N/A-StillEmployed,Active,IT/IS,Lynn Daneault,21,LinkedIn,Fully Meets,2.71,2,3,2/12/2019,2,15
"Lundy, Susan",120,0,1,0,3,5,3,0,103523,1,21,Sr. Accountant,MA,21137,03/28/82,F,Single,US Citizen,Yes,White,7/8/2013,9/7/2015,N/A-StillEmployed,Voluntarily Terminated,Admin Offices,Brannon Miller,12,Employee Referral,Fully Meets,4.15,4,4,1/4/2019,0,8
"Engdahl, Jean",8,1,1,0,5,4,3,0,54719,1,22,Production Technician I,MA,7371,05/15/70,F,Single,US Citizen,Yes,Black or African American,5/16/2011,9/4/2014,medical issues,Voluntarily Terminated,Production       ,Kissy Sullivan,20,Employee Referral,Fully Meets,4.76,3,1,4/12/2018,2,5
"Carr, Claudia  N",49,1,1,0,4,4,3,0,55909,1,18,Production Technician I,MA,16585,11/24/87,F,Single,US Citizen,No,White,1/10/2011,6/8/2016,N/A-StillEmployed,Voluntarily Terminated,IT/IS,Kelley Spirea,18,Google Search,Fully Meets,4.96,4,1,1/31/2019,0,8
"Fernandes, Nilson  ",67,1,0,0,2,6,2,0,45831,0,28,Production Technician I,MA,9416,03/31/77,F,Single,US Citizen,No,White,1/7/2013,,N/A-StillEmployed,Active,Production       ,Michael Albert,22,Indeed,Fully Meets,4.31,5,0,5/4/2011,3,5
"Beak, Kimberly  ",162,0,1,1,2,5,3,0,107293,0,2,Production Technician II,MA,48546,07/20/83,M ,Married,US Citizen,No,White,2/16/2015,,N/A-StillEmployed,Voluntarily Terminated,Sales,Peter Monroe,7,LinkedIn,Fully Meets,3.83,5,3,1/30/2019,2,8
"Le, Binh",141,1,2,0,3,5,3,0,85351,0,21,Sr. Accountant,MA,20300,03/17/88,F,Married,US Citizen,No,Black or African American,4/2/2012,1/9/2014,N/A-StillEmployed,Active,Sales,Jennifer Zamora,5,Indeed,Fully Meets,4.2,4,5,4/2/2016,0,12
"Tejeda, Lenora ",50,0,0,1,4,5,3,0,61515,1,14,Production Technician I,MA,14868,08/10/81,M ,Single,US Citizen,No,White,1/5/2015,,N/A-StillEmployed,Active,Sales,Kelley Spirea,18,LinkedIn,Fully Meets,4.41,4,2,1/15/2019,1,7
"Bachiochi, Linda",99,0,2,1,1,2,2,0,150926,0,25,Enterprise Architect,MA,5457,09/09/65,M ,Separated,US Citizen,No,Black or African American,2/21/2011,,N/A-StillEmployed,Active,IT/IS,Janet King,2,LinkedIn,Fully Meets,4.07,3,3,2/25/2019,2,1
"Barone, Francesco  A",131,0,1,1,4,6,4,0,77981,1,23,Production Technician I,MA,18265,09/19/88,F,Married,US Citizen,No,White,2/21/2011,,Another position,Voluntarily Terminated,Production       ,Brannon Miller,12,Employee Referral,Fully Meets,4.66,4,0,2/1/2013,1,2
"Jeannite, Tayana",166,1,1,1,2,3,2,0,134311,0,16,Production Manager,MA,9408,10/22/75,M ,Married,US Citizen,No,White,6/10/2011,,N/A-StillEmployed,Active,Sales,Peter Monroe,7,Indeed,Fully Meets,4.63,4,3,1/17/2019,1,19
"Brown, Mia",191,1,0,0,4,5,3,0,67305,1,11,Production Technician II,MA,28581,06/14/87,F,Single,US Citizen,No,Black or African American,2/16/2015,,career change,Voluntarily Terminated,IT/IS,Elijiah Gray,16,Website,PIP,3.73,3,2,3/4/2013,2,19
"Wilber, Barry",181,0,3,0,3,2,3,0,58291,0,14,Production Technician I,MA,10284,07/30/83,F,Widowed,US Citizen,No,Asian,8/19/2013,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,16,Indeed,Fully Meets,1.69,3,3,1/4/2015,2,18
"Saada, Adell",44,1,2,1,5,5,2,0,108519,1,19,Area Sales Manager,MA,3566,02/02/65,M ,Married,US Citizen,No,White,9/30/2013,2/22/2017,Another position,Voluntarily Terminated,Production       ,Kelley Spirea,18,Google Search,Fully Meets,3.23,4,2,4/18/2017,2,6
"Gross, Paula",92,1,2,0,3,2,2,0,139834,1,22,Principal Data Architect,MA,2858,09/04/83,F,Married,US Citizen,No,White,1/6/2014,9/26/2017,N/A-StillEmployed,Voluntarily Terminated,Production       ,Janet King,2,Indeed,Fully Meets,3.39,3,7,2/10/2013,1,19
"Wallace, Courtney  E",13,1,1,1,4,6,3,0,51979,1,14,Production Technician I,MA,19225,11/07/58,M ,Single,US Citizen,No,White,2/17/2014,9/25/2013,N/A-StillEmployed,Active,Production       ,Kissy Sullivan,20,LinkedIn,Fully Meets,4.21,2,0,4/2/2018,2,1
